"id","pir_motion","light_level","temperature","humidity","noise_level","timestamp"
"1","0","216","25","48","609","2026-04-15 23:30:15"
"2","0","191","25","48","609","2026-04-15 23:30:46"
"3","0","166","25","48","609","2026-04-15 23:31:17"
"4","0","166","25","48","606","2026-04-15 23:31:48"
"5","0","165","25","48","611","2026-04-15 23:32:19"
"6","0","166","24","49","610","2026-04-15 23:32:50"
"7","0","166","24","49","611","2026-04-15 23:33:21"
"8","0","240","24","49","611","2026-04-15 23:33:52"
"9","0","234","24","51","614","2026-04-15 23:34:22"
"10","0","234","24","50","612","2026-04-15 23:34:53"
"11","0","228","24","50","610","2026-04-15 23:35:24"
"12","0","229","24","49","611","2026-04-15 23:35:55"
"13","0","251","24","50","606","2026-04-15 23:36:26"
"14","0","233","25","50","609","2026-04-15 23:36:57"
"15","0","224","25","49","609","2026-04-15 23:37:28"
"16","0","248","25","49","499","2026-04-15 23:37:59"
"17","0","249","25","49","614","2026-04-15 23:38:30"
"18","0","249","25","49","617","2026-04-15 23:39:01"
"19","0","240","25","49","613","2026-04-15 23:39:31"
"20","0","237","25","49","615","2026-04-15 23:40:02"
"21","0","230","25","49","612","2026-04-15 23:40:33"
"22","0","235","25","49","619","2026-04-15 23:41:04"
"23","0","247","26","49","614","2026-04-15 23:41:35"
"24","0","248","25","49","620","2026-04-15 23:42:29"
"25","0","212","25","49","616","2026-04-15 23:42:59"
"26","0","213","25","48","614","2026-04-15 23:43:30"
"27","0","240","26","49","616","2026-04-15 23:44:01"
"28","0","232","26","49","611","2026-04-15 23:44:32"
"29","0","229","26","48","614","2026-04-15 23:45:03"
"30","0","227","26","48","612","2026-04-15 23:45:34"
"31","0","227","26","48","620","2026-04-15 23:46:05"
"32","0","222","26","48","612","2026-04-15 23:46:36"
"33","0","222","26","48","616","2026-04-15 23:47:07"
"34","0","245","26","48","613","2026-04-15 23:47:38"
"35","0","242","26","48","613","2026-04-15 23:48:08"
"36","0","216","27","48","616","2026-04-15 23:48:39"
"37","0","224","27","48","614","2026-04-15 23:49:10"
"38","0","230","27","48","611","2026-04-15 23:49:41"
"39","0","237","27","48","615","2026-04-15 23:50:12"
"40","0","198","27","48","617","2026-04-15 23:50:43"
"41","0","189","27","48","618","2026-04-15 23:51:14"
"42","0","204","27","48","615","2026-04-15 23:51:45"
"43","0","231","27","48","617","2026-04-15 23:52:16"
"44","0","232","27","47","611","2026-04-15 23:52:47"
"45","0","232","27","48","613","2026-04-15 23:53:17"
"46","0","241","27","47","608","2026-04-15 23:53:48"
"47","0","228","27","47","612","2026-04-15 23:54:19"
"48","0","238","27","47","615","2026-04-15 23:54:50"
"49","0","238","27","47","609","2026-04-15 23:55:21"
