"id","pir_score","light_score","temp_score","humidity_score","noise_score","aqi_score","total_score","status","timestamp"
"1","0","62","86","100","100","90","86","Good","2026-04-15 23:30:15"
"2","0","73","86","100","100","90","88.75","Good","2026-04-15 23:30:46"
"3","0","86","86","100","100","90","92","Good","2026-04-15 23:31:17"
"4","0","86","86","100","100","90","92","Good","2026-04-15 23:31:48"
"5","0","87","86","100","100","90","92.25","Good","2026-04-15 23:32:19"
"6","0","86","93","100","100","90","93.75","Good","2026-04-15 23:32:50"
"7","0","86","93","100","100","90","93.75","Good","2026-04-15 23:33:21"
"8","0","54","93","100","100","90","85.75","Good","2026-04-15 23:33:52"
"9","0","56","93","100","100","90","86.25","Good","2026-04-15 23:34:22"
"10","0","56","93","100","100","90","86.25","Good","2026-04-15 23:34:53"
"11","0","58","93","100","100","90","86.75","Good","2026-04-15 23:35:24"
"12","0","58","93","100","100","90","86.75","Good","2026-04-15 23:35:55"
"13","0","51","93","100","100","90","85","Good","2026-04-15 23:36:26"
"14","0","57","86","100","100","90","84.75","Good","2026-04-15 23:36:57"
"15","0","59","86","100","100","90","85.25","Good","2026-04-15 23:37:28"
"16","0","52","86","100","100","90","83.5","Good","2026-04-15 23:37:59"
"17","0","52","86","100","100","90","83.5","Good","2026-04-15 23:38:30"
"18","0","52","86","100","100","90","83.5","Good","2026-04-15 23:39:01"
"19","0","54","86","100","100","90","84","Good","2026-04-15 23:39:31"
"20","0","55","86","100","100","90","84.25","Good","2026-04-15 23:40:02"
"21","0","57","86","100","100","90","84.75","Good","2026-04-15 23:40:33"
"22","0","56","86","100","100","90","84.5","Good","2026-04-15 23:41:04"
"23","0","52","79","100","100","90","81.75","Good","2026-04-15 23:41:35"
"24","0","52","86","100","100","90","83.5","Good","2026-04-15 23:42:29"
"25","0","64","86","100","100","90","86.5","Good","2026-04-15 23:42:59"
"26","0","63","86","100","100","90","86.25","Good","2026-04-15 23:43:30"
"27","0","54","79","100","100","90","82.25","Good","2026-04-15 23:44:01"
"28","0","57","79","100","100","90","83","Good","2026-04-15 23:44:32"
"29","0","58","79","100","100","90","83.25","Good","2026-04-15 23:45:03"
"30","0","58","79","100","100","90","83.25","Good","2026-04-15 23:45:34"
"31","0","58","79","100","100","90","83.25","Good","2026-04-15 23:46:05"
"32","0","60","79","100","100","90","83.75","Good","2026-04-15 23:46:36"
"33","0","60","79","100","100","90","83.75","Good","2026-04-15 23:47:07"
"34","0","53","79","100","100","90","82","Good","2026-04-15 23:47:38"
"35","0","54","79","100","100","90","82.25","Good","2026-04-15 23:48:08"
"36","0","62","72","100","100","90","82.5","Good","2026-04-15 23:48:39"
"37","0","59","72","100","100","90","81.75","Good","2026-04-15 23:49:10"
"38","0","57","72","100","100","90","81.25","Good","2026-04-15 23:49:41"
"39","0","55","72","100","100","90","80.75","Good","2026-04-15 23:50:12"
"40","0","69","72","100","100","90","84.25","Good","2026-04-15 23:50:43"
"41","0","74","72","100","100","90","85.5","Good","2026-04-15 23:51:14"
"42","0","67","72","100","100","90","83.75","Good","2026-04-15 23:51:45"
"43","0","57","72","100","100","90","81.25","Good","2026-04-15 23:52:16"
"44","0","57","72","100","100","90","81.25","Good","2026-04-15 23:52:47"
"45","0","57","72","100","100","90","81.25","Good","2026-04-15 23:53:17"
"46","0","54","72","100","100","90","80.5","Good","2026-04-15 23:53:48"
"47","0","58","72","100","100","90","81.5","Good","2026-04-15 23:54:19"
"48","0","55","72","100","100","90","80.75","Good","2026-04-15 23:54:50"
"49","0","55","72","100","100","90","80.75","Good","2026-04-15 23:55:21"
"50","0","55","72","100","100","90","80.75","Good","2026-04-15 23:55:52"
"51","0","54","72","100","100","90","80.5","Good","2026-04-15 23:56:23"
"52","0","54","72","100","100","90","80.5","Good","2026-04-15 23:56:54"
"53","0","54","72","100","100","90","80.5","Good","2026-04-15 23:57:25"
"54","0","55","72","100","100","90","80.75","Good","2026-04-15 23:57:56"
"55","0","55","72","100","100","90","80.75","Good","2026-04-15 23:58:27"
"56","0","55","72","100","100","90","80.75","Good","2026-04-15 23:58:57"
"57","0","58","72","100","100","90","81.5","Good","2026-04-15 23:59:28"
"58","0","100","72","100","100","90","92","Good","2026-04-15 23:59:59"
"59","0","54","72","100","100","90","80.5","Good","2026-04-16 00:00:30"
"60","0","54","72","100","100","90","80.5","Good","2026-04-16 00:01:01"
"61","0","54","72","100","100","90","80.5","Good","2026-04-16 00:01:32"
"62","0","54","72","100","100","90","80.5","Good","2026-04-16 00:02:03"
"63","0","55","72","100","100","90","80.75","Good","2026-04-16 00:02:34"
"64","0","55","72","100","100","90","80.75","Good","2026-04-16 00:03:05"
"65","0","55","72","100","100","90","80.75","Good","2026-04-16 00:03:36"
"66","0","53","72","100","100","90","80.25","Good","2026-04-16 00:04:06"
"67","0","53","72","100","100","90","80.25","Good","2026-04-16 00:04:37"
"68","0","53","72","100","100","90","80.25","Good","2026-04-16 00:05:08"
"69","0","54","72","100","100","90","80.5","Good","2026-04-16 00:05:39"
"70","0","54","72","100","100","90","80.5","Good","2026-04-16 00:06:10"
"71","0","56","72","100","100","90","81","Good","2026-04-16 00:06:41"
"72","0","55","72","100","100","90","80.75","Good","2026-04-16 00:07:12"
"73","0","56","72","100","100","90","81","Good","2026-04-16 00:07:43"
"74","0","56","72","100","100","90","81","Good","2026-04-16 00:08:14"
"75","0","56","72","100","100","90","81","Good","2026-04-16 00:08:45"
"76","0","57","72","100","100","90","81.25","Good","2026-04-16 00:09:16"
"77","0","56","72","100","100","90","81","Good","2026-04-16 00:09:46"
"78","0","86","72","100","100","90","88.5","Good","2026-04-16 00:10:17"
"79","0","59","72","100","100","90","81.75","Good","2026-04-16 00:10:48"
"80","0","58","65","100","100","90","79.75","Moderate","2026-04-16 00:11:19"
"81","0","55","65","100","100","90","79","Moderate","2026-04-16 00:11:50"
"82","0","48","65","100","100","90","77.25","Moderate","2026-04-16 00:12:21"
"83","0","52","65","100","100","90","78.25","Moderate","2026-04-16 00:12:52"
"84","0","51","65","100","100","90","78","Moderate","2026-04-16 00:13:23"
"85","0","86","65","100","100","90","86.75","Good","2026-04-16 00:13:54"
"86","0","52","65","100","100","90","78.25","Moderate","2026-04-16 00:14:25"
"87","0","53","72","100","100","90","80.25","Good","2026-04-16 00:14:55"
"88","0","49","72","100","100","90","79.25","Moderate","2026-04-16 00:15:26"
"89","100","48","72","100","100","90","79","Moderate","2026-04-16 00:15:41"
"90","0","52","72","100","100","90","80","Good","2026-04-16 00:15:57"
"91","0","56","72","100","100","90","81","Good","2026-04-16 00:16:28"
"92","0","53","72","100","100","90","80.25","Good","2026-04-16 00:17:08"
"93","100","52","79","100","100","90","81.75","Good","2026-04-16 00:19:46"
"94","100","52","79","100","100","90","81.75","Good","2026-04-16 00:19:46"
"95","100","50","79","100","100","90","81.25","Good","2026-04-16 00:20:01"
"96","0","50","79","100","100","90","81.25","Good","2026-04-16 00:20:25"
"97","0","47","79","100","100","90","80.5","Good","2026-04-16 00:20:56"
"98","0","49","86","100","100","90","82.75","Good","2026-04-16 00:21:27"
"99","0","64","86","100","100","90","86.5","Good","2026-04-16 00:21:58"
"100","0","60","86","100","100","90","85.5","Good","2026-04-16 00:22:28"
"101","0","49","86","100","100","90","82.75","Good","2026-04-16 00:22:59"
"102","100","49","86","100","100","90","82.75","Good","2026-04-16 00:23:04"
"103","0","58","86","100","100","90","85","Good","2026-04-16 00:23:30"
"104","100","58","86","100","100","90","85","Good","2026-04-16 00:23:33"
"105","100","47","86","100","100","90","82.25","Good","2026-04-16 00:23:40"
"106","100","47","86","100","100","90","82.25","Good","2026-04-16 00:23:54"
